Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066037,2026,06,18,12.7,1,N
IDCJAC0011,066037,2026,06,19,14.8,1,N
IDCJAC0011,066037,2026,06,20,13.0,1,N
IDCJAC0011,066037,2026,06,21,9.6,1,N
IDCJAC0011,066037,2026,06,22,10.2,1,N
IDCJAC0011,066037,2026,06,23,9.3,1,N
IDCJAC0011,066037,2026,06,24,7.9,1,N
IDCJAC0011,066037,2026,06,25,11.6,1,N
IDCJAC0011,066037,2026,06,26,11.9,1,N
IDCJAC0011,066037,2026,06,27,10.7,1,N
IDCJAC0011,066037,2026,06,28,11.9,1,N
IDCJAC0011,066037,2026,06,29,12.1,1,N
IDCJAC0011,066037,2026,06,30,10.8,1,N
IDCJAC0011,066037,2026,07,01,11.2,1,N
IDCJAC0011,066037,2026,07,02,14.7,1,N
IDCJAC0011,066037,2026,07,03,13.0,1,N
IDCJAC0011,066037,2026,07,04,9.2,1,N
IDCJAC0011,066037,2026,07,05,8.4,1,N
IDCJAC0011,066037,2026,07,06,11.9,1,N
IDCJAC0011,066037,2026,07,07,11.3,1,N
IDCJAC0011,066037,2026,07,08,10.8,1,N
IDCJAC0011,066037,2026,07,09,10.7,1,N
IDCJAC0011,066037,2026,07,10,9.2,1,N
IDCJAC0011,066037,2026,07,11,8.2,1,N
IDCJAC0011,066037,2026,07,12,10.0,1,N
IDCJAC0011,066037,2026,07,13,8.6,1,N
IDCJAC0011,066037,2026,07,14,9.2,1,N
IDCJAC0011,066037,2026,07,15,11.8,1,N
IDCJAC0011,066037,2026,07,16,9.9,1,N
IDCJAC0011,066037,2026,07,17,12.2,1,N
IDCJAC0011,066037,2026,07,18,10.7,1,N
IDCJAC0011,066037,2026,07,19,13.1,1,N
IDCJAC0011,066037,2026,07,20,10.7,1,N
IDCJAC0011,066037,2026,07,21,8.5,1,N
IDCJAC0011,066037,2026,07,22,9.3,1,N
IDCJAC0011,066037,2026,07,23,10.1,1,N
IDCJAC0011,066037,2026,07,24,7.2,1,N
IDCJAC0011,066037,2026,07,25,5.9,1,N
IDCJAC0011,066037,2026,07,26,9.6,1,N
IDCJAC0011,066037,2026,07,27,9.5,1,N
IDCJAC0011,066037,2026,07,28,9.2,1,N
IDCJAC0011,066037,2026,07,29,11.1,1,N
IDCJAC0011,066037,2026,07,30,8.3,1,N
IDCJAC0011,066037,2026,07,31,7.1,1,N
IDCJAC0011,066037,2026,08,01,8.6,1,N
IDCJAC0011,066037,2026,08,02,9.4,1,N
IDCJAC0011,066037,2026,08,03,9.1,1,N
IDCJAC0011,066037,2026,08,04,8.5,1,N
IDCJAC0011,066037,2026,08,05,7.3,1,N
IDCJAC0011,066037,2026,08,06,7.6,1,N
IDCJAC0011,066037,2026,08,07,8.1,1,N
IDCJAC0011,066037,2026,08,08,9.9,1,N
IDCJAC0011,066037,2026,08,09,8.3,1,N
IDCJAC0011,066037,2026,08,10,11.5,1,N
IDCJAC0011,066037,2026,08,11,12.9,1,N
IDCJAC0011,066037,2026,08,12,8.4,1,N
IDCJAC0011,066037,2026,08,13,10.8,1,N
IDCJAC0011,066037,2026,08,14,9.3,1,N
IDCJAC0011,066037,2026,08,15,10.5,1,N
IDCJAC0011,066037,2026,08,16,10.3,1,N
IDCJAC0011,066037,2026,08,17,12.4,1,N
IDCJAC0011,066037,2026,08,18,10.6,1,N
IDCJAC0011,066037,2026,08,19,10.9,1,N
IDCJAC0011,066037,2026,08,20,11.1,1,N
IDCJAC0011,066037,2026,08,21,15.0,1,N
IDCJAC0011,066037,2026,08,22,11.1,1,N
IDCJAC0011,066037,2026,08,23,12.8,1,N
IDCJAC0011,066037,2026,08,24,12.5,1,N
IDCJAC0011,066037,2026,08,25,15.5,1,N
IDCJAC0011,066037,2026,08,26,14.9,1,N
IDCJAC0011,066037,2026,08,27,12.8,1,N
IDCJAC0011,066037,2026,08,28,10.4,1,N
IDCJAC0011,066037,2026,08,29,10.7,1,N
IDCJAC0011,066037,2026,08,30,10.0,1,N
IDCJAC0011,066037,2026,08,31,10.3,1,N
IDCJAC0011,066037,2026,09,01,11.5,1,N
IDCJAC0011,066037,2026,09,02,17.1,1,N
IDCJAC0011,066037,2026,09,03,19.3,1,N
IDCJAC0011,066037,2026,09,04,13.4,1,N
IDCJAC0011,066037,2026,09,05,14.7,1,N
IDCJAC0011,066037,2026,09,06,15.3,1,N
IDCJAC0011,066037,2026,09,07,13.8,1,N
IDCJAC0011,066037,2026,09,08,11.9,1,N
IDCJAC0011,066037,2026,09,09,10.0,1,N
IDCJAC0011,066037,2026,09,10,10.5,1,N
IDCJAC0011,066037,2026,09,11,10.6,1,N
IDCJAC0011,066037,2026,09,12,10.4,1,N
IDCJAC0011,066037,2026,09,13,12.6,1,N
IDCJAC0011,066037,2026,09,14,14.1,1,N
IDCJAC0011,066037,2026,09,15,15.0,1,N
IDCJAC0011,066037,2026,09,16,11.4,1,N
IDCJAC0011,066037,2026,09,17,9.2,1,N
IDCJAC0011,066037,2026,09,18,9.1,1,N
