INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,SOURCE_FILE
1/01/2025 10:30,VIC1,2078,1/01/2025 10:30,0,0,Operational Demand 202501.CSV
1/01/2025 11:00,NSW1,5020,1/01/2025 11:00,0,0,Operational Demand 202501.CSV
1/01/2025 11:00,QLD1,4761,1/01/2025 11:00,0,0,Operational Demand 202501.CSV
1/01/2025 11:00,SA1,145,1/01/2025 11:00,0,0,Operational Demand 202501.CSV
1/01/2025 11:00,TAS1,1036,1/01/2025 11:00,0,0,Operational Demand 202501.CSV
1/01/2025 11:00,VIC1,1815,1/01/2025 11:00,0,0,Operational Demand 202501.CSV
1/01/2025 11:30,NSW1,5160,1/01/2025 11:30,0,0,Operational Demand 202501.CSV
1/01/2025 11:30,QLD1,4857,1/01/2025 11:30,0,0,Operational Demand 202501.CSV
1/01/2025 11:30,SA1,86,1/01/2025 11:30,0,0,Operational Demand 202501.CSV
1/01/2025 11:30,TAS1,1048,1/01/2025 11:30,0,0,Operational Demand 202501.CSV
1/01/2025 11:30,VIC1,1632,1/01/2025 11:30,0,0,Operational Demand 202501.CSV
1/01/2025 12:00,NSW1,5175,1/01/2025 12:00,0,0,Operational Demand 202501.CSV
1/01/2025 12:00,QLD1,5005,1/01/2025 12:00,0,0,Operational Demand 202501.CSV
1/01/2025 12:00,SA1,77,1/01/2025 12:00,0,0,Operational Demand 202501.CSV
1/01/2025 12:00,TAS1,1045,1/01/2025 12:00,0,0,Operational Demand 202501.CSV
1/01/2025 12:00,VIC1,1558,1/01/2025 12:00,0,0,Operational Demand 202501.CSV
1/01/2025 12:30,NSW1,5196,1/01/2025 12:30,0,0,Operational Demand 202501.CSV
1/01/2025 12:30,QLD1,5051,1/01/2025 12:30,0,0,Operational Demand 202501.CSV
1/01/2025 12:30,SA1,62,1/01/2025 12:30,0,0,Operational Demand 202501.CSV
1/01/2025 12:30,TAS1,1034,1/01/2025 12:30,0,0,Operational Demand 202501.CSV
1/01/2025 12:30,VIC1,1504,1/01/2025 12:30,0,0,Operational Demand 202501.CSV
1/01/2025 13:00,NSW1,5348,1/01/2025 13:00,0,0,Operational Demand 202501.CSV
1/01/2025 13:00,QLD1,5140,1/01/2025 13:00,0,0,Operational Demand 202501.CSV
1/01/2025 13:00,SA1,67,1/01/2025 13:00,0,0,Operational Demand 202501.CSV
1/01/2025 13:00,TAS1,1021,1/01/2025 13:00,0,0,Operational Demand 202501.CSV
1/01/2025 13:00,VIC1,1524,1/01/2025 13:00,0,0,Operational Demand 202501.CSV
1/01/2025 13:30,NSW1,5582,1/01/2025 13:30,0,0,Operational Demand 202501.CSV
1/01/2025 13:30,QLD1,5337,1/01/2025 13:30,0,0,Operational Demand 202501.CSV
1/01/2025 13:30,SA1,70,1/01/2025 13:30,0,0,Operational Demand 202501.CSV
