Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066037,2026,06,26,15.0,1,N
IDCJAC0010,066037,2026,06,27,16.2,1,N
IDCJAC0010,066037,2026,06,28,16.1,1,N
IDCJAC0010,066037,2026,06,29,18.8,1,N
IDCJAC0010,066037,2026,06,30,18.8,1,N
IDCJAC0010,066037,2026,07,01,21.3,1,N
IDCJAC0010,066037,2026,07,02,23.5,1,N
IDCJAC0010,066037,2026,07,03,20.0,1,N
IDCJAC0010,066037,2026,07,04,18.3,1,N
IDCJAC0010,066037,2026,07,05,14.8,1,N
IDCJAC0010,066037,2026,07,06,15.0,1,N
IDCJAC0010,066037,2026,07,07,15.4,1,N
IDCJAC0010,066037,2026,07,08,16.5,1,N
IDCJAC0010,066037,2026,07,09,16.6,1,N
IDCJAC0010,066037,2026,07,10,16.0,1,N
IDCJAC0010,066037,2026,07,11,18.8,1,N
IDCJAC0010,066037,2026,07,12,17.7,1,N
IDCJAC0010,066037,2026,07,13,20.6,1,N
IDCJAC0010,066037,2026,07,14,20.7,1,N
IDCJAC0010,066037,2026,07,15,16.2,1,N
IDCJAC0010,066037,2026,07,16,16.2,1,N
IDCJAC0010,066037,2026,07,17,15.7,1,N
IDCJAC0010,066037,2026,07,18,19.3,1,N
IDCJAC0010,066037,2026,07,19,18.0,1,N
IDCJAC0010,066037,2026,07,20,19.9,1,N
IDCJAC0010,066037,2026,07,21,20.0,1,N
IDCJAC0010,066037,2026,07,22,21.3,1,N
IDCJAC0010,066037,2026,07,23,19.7,1,N
IDCJAC0010,066037,2026,07,24,16.0,1,N
IDCJAC0010,066037,2026,07,25,21.3,1,N
IDCJAC0010,066037,2026,07,26,17.1,1,N
IDCJAC0010,066037,2026,07,27,19.6,1,N
IDCJAC0010,066037,2026,07,28,21.5,1,N
IDCJAC0010,066037,2026,07,29,19.3,1,N
IDCJAC0010,066037,2026,07,30,15.4,1,N
IDCJAC0010,066037,2026,07,31,16.3,1,N
IDCJAC0010,066037,2026,08,01,18.0,1,N
IDCJAC0010,066037,2026,08,02,19.0,1,N
IDCJAC0010,066037,2026,08,03,22.7,1,N
IDCJAC0010,066037,2026,08,04,19.5,1,N
IDCJAC0010,066037,2026,08,05,17.6,1,N
IDCJAC0010,066037,2026,08,06,18.4,1,N
IDCJAC0010,066037,2026,08,07,17.2,1,N
IDCJAC0010,066037,2026,08,08,19.5,1,N
IDCJAC0010,066037,2026,08,09,19.4,1,N
IDCJAC0010,066037,2026,08,10,17.7,1,N
IDCJAC0010,066037,2026,08,11,21.6,1,N
IDCJAC0010,066037,2026,08,12,20.0,1,N
IDCJAC0010,066037,2026,08,13,19.4,1,N
IDCJAC0010,066037,2026,08,14,20.9,1,N
IDCJAC0010,066037,2026,08,15,16.8,1,N
IDCJAC0010,066037,2026,08,16,18.8,1,N
IDCJAC0010,066037,2026,08,17,17.4,1,N
IDCJAC0010,066037,2026,08,18,19.2,1,N
IDCJAC0010,066037,2026,08,19,20.2,1,N
IDCJAC0010,066037,2026,08,20,22.6,1,N
IDCJAC0010,066037,2026,08,21,23.9,1,N
IDCJAC0010,066037,2026,08,22,23.6,1,N
IDCJAC0010,066037,2026,08,23,20.9,1,N
IDCJAC0010,066037,2026,08,24,22.5,1,N
IDCJAC0010,066037,2026,08,25,21.3,1,N
IDCJAC0010,066037,2026,08,26,18.0,1,N
IDCJAC0010,066037,2026,08,27,17.9,1,N
IDCJAC0010,066037,2026,08,28,18.2,1,N
IDCJAC0010,066037,2026,08,29,18.7,1,N
IDCJAC0010,066037,2026,08,30,20.4,1,N
IDCJAC0010,066037,2026,08,31,22.5,1,N
IDCJAC0010,066037,2026,09,01,26.8,1,N
IDCJAC0010,066037,2026,09,02,28.9,1,N
IDCJAC0010,066037,2026,09,03,27.7,1,N
IDCJAC0010,066037,2026,09,04,24.9,1,N
IDCJAC0010,066037,2026,09,05,32.4,1,N
IDCJAC0010,066037,2026,09,06,21.4,1,N
IDCJAC0010,066037,2026,09,07,22.8,1,N
IDCJAC0010,066037,2026,09,08,17.4,1,N
IDCJAC0010,066037,2026,09,09,19.0,1,N
IDCJAC0010,066037,2026,09,10,17.4,1,N
IDCJAC0010,066037,2026,09,11,19.2,1,N
IDCJAC0010,066037,2026,09,12,21.9,1,N
IDCJAC0010,066037,2026,09,13,24.3,1,N
IDCJAC0010,066037,2026,09,14,28.0,1,N
IDCJAC0010,066037,2026,09,15,22.6,1,N
IDCJAC0010,066037,2026,09,16,15.5,1,N
IDCJAC0010,066037,2026,09,17,17.8,1,N
