Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066024,2025,07,11,11.5
IDCJAC0016,066024,2025,07,12,11.1
IDCJAC0016,066024,2025,07,13,10.9
IDCJAC0016,066024,2025,07,14,11.7
IDCJAC0016,066024,2025,07,15,7.8
IDCJAC0016,066024,2025,07,16,11.9
IDCJAC0016,066024,2025,07,17,11.7
IDCJAC0016,066024,2025,07,18,10.6
IDCJAC0016,066024,2025,07,19,12.1
IDCJAC0016,066024,2025,07,20,12.1
IDCJAC0016,066024,2025,07,21,11.8
IDCJAC0016,066024,2025,07,22,9.2
IDCJAC0016,066024,2025,07,23,11.9
IDCJAC0016,066024,2025,07,24,12.5
IDCJAC0016,066024,2025,07,25,12.2
IDCJAC0016,066024,2025,07,26,8.5
IDCJAC0016,066024,2025,07,27,11.1
IDCJAC0016,066024,2025,07,28,12.3
IDCJAC0016,066024,2025,07,29,11.3
IDCJAC0016,066024,2025,07,30,4.9
IDCJAC0016,066024,2025,07,31,9.4
IDCJAC0016,066024,2025,08,01,7.4
IDCJAC0016,066024,2025,08,02,5.9
IDCJAC0016,066024,2025,08,03,8.3
IDCJAC0016,066024,2025,08,04,10.3
IDCJAC0016,066024,2025,08,05,13.2
IDCJAC0016,066024,2025,08,06,13.8
IDCJAC0016,066024,2025,08,07,10.0
IDCJAC0016,066024,2025,08,08,12.4
IDCJAC0016,066024,2025,08,09,11.0
IDCJAC0016,066024,2025,08,10,8.9
IDCJAC0016,066024,2025,08,11,9.8
IDCJAC0016,066024,2025,08,12,13.8
IDCJAC0016,066024,2025,08,13,13.6
IDCJAC0016,066024,2025,08,14,6.0
IDCJAC0016,066024,2025,08,15,13.6
IDCJAC0016,066024,2025,08,16,11.7
IDCJAC0016,066024,2025,08,17,15.2
IDCJAC0016,066024,2025,08,18,8.7
IDCJAC0016,066024,2025,08,19,9.7
IDCJAC0016,066024,2025,08,20,7.7
IDCJAC0016,066024,2025,08,21,4.7
IDCJAC0016,066024,2025,08,22,11.1
IDCJAC0016,066024,2025,08,23,15.7
IDCJAC0016,066024,2025,08,24,12.2
IDCJAC0016,066024,2025,08,25,11.5
IDCJAC0016,066024,2025,08,26,16.0
IDCJAC0016,066024,2025,08,27,6.8
IDCJAC0016,066024,2025,08,28,16.8
IDCJAC0016,066024,2025,08,29,16.1
IDCJAC0016,066024,2025,08,30,16.1
IDCJAC0016,066024,2025,08,31,17.4
IDCJAC0016,066024,2025,09,01,17.6
IDCJAC0016,066024,2025,09,02,15.3
IDCJAC0016,066024,2025,09,03,17.9
IDCJAC0016,066024,2025,09,04,13.4
IDCJAC0016,066024,2025,09,05,17.0
IDCJAC0016,066024,2025,09,06,17.3
IDCJAC0016,066024,2025,09,07,18.5
IDCJAC0016,066024,2025,09,08,17.6
IDCJAC0016,066024,2025,09,09,13.9
IDCJAC0016,066024,2025,09,10,5.8
IDCJAC0016,066024,2025,09,11,11.6
IDCJAC0016,066024,2025,09,12,19.3
IDCJAC0016,066024,2025,09,13,17.9
IDCJAC0016,066024,2025,09,14,19.8
IDCJAC0016,066024,2025,09,15,20.0
IDCJAC0016,066024,2025,09,16,15.4
IDCJAC0016,066024,2025,09,17,20.1
IDCJAC0016,066024,2025,09,18,20.4
IDCJAC0016,066024,2025,09,19,19.7
IDCJAC0016,066024,2025,09,20,20.7
IDCJAC0016,066024,2025,09,21,21.0
IDCJAC0016,066024,2025,09,22,17.5
IDCJAC0016,066024,2025,09,23,21.3
IDCJAC0016,066024,2025,09,24,21.4
IDCJAC0016,066024,2025,09,25,21.6
IDCJAC0016,066024,2025,09,26,18.9
IDCJAC0016,066024,2025,09,27,16.5
IDCJAC0016,066024,2025,09,28,20.5
IDCJAC0016,066024,2025,09,29,19.9
IDCJAC0016,066024,2025,09,30,21.9
IDCJAC0016,066024,2025,10,01,22.8
IDCJAC0016,066024,2025,10,02,21.8
IDCJAC0016,066024,2025,10,03,23.1
IDCJAC0016,066024,2025,10,04,22.9
IDCJAC0016,066024,2025,10,05,23.0
IDCJAC0016,066024,2025,10,06,17.4
IDCJAC0016,066024,2025,10,07,12.8
IDCJAC0016,066024,2025,10,08,22.3
IDCJAC0016,066024,2025,10,09,8.4
IDCJAC0016,066024,2025,10,10,24.4
IDCJAC0016,066024,2025,10,11,24.7
IDCJAC0016,066024,2025,10,12,15.3
IDCJAC0016,066024,2025,10,13,23.3
IDCJAC0016,066024,2025,10,14,25.2
IDCJAC0016,066024,2025,10,15,25.4
IDCJAC0016,066024,2025,10,16,24.5
IDCJAC0016,066024,2025,10,17,15.6
IDCJAC0016,066024,2025,10,18,24.6
IDCJAC0016,066024,2025,10,19,24.8
IDCJAC0016,066024,2025,10,20,20.6
IDCJAC0016,066024,2025,10,21,21.6
IDCJAC0016,066024,2025,10,22,19.9
IDCJAC0016,066024,2025,10,23,23.9
IDCJAC0016,066024,2025,10,24,26.1
IDCJAC0016,066024,2025,10,25,19.8
IDCJAC0016,066024,2025,10,26,12.1
IDCJAC0016,066024,2025,10,27,19.3
IDCJAC0016,066024,2025,10,28,9.6
IDCJAC0016,066024,2025,10,29,10.2
IDCJAC0016,066024,2025,10,30,25.2
IDCJAC0016,066024,2025,10,31,26.1
IDCJAC0016,066024,2025,11,01,13.4
IDCJAC0016,066024,2025,11,02,16.4
IDCJAC0016,066024,2025,11,03,22.8
IDCJAC0016,066024,2025,11,04,23.1
IDCJAC0016,066024,2025,11,05,28.6
IDCJAC0016,066024,2025,11,06,28.7
IDCJAC0016,066024,2025,11,07,18.9
IDCJAC0016,066024,2025,11,08,19.5
IDCJAC0016,066024,2025,11,09,27.3
IDCJAC0016,066024,2025,11,10,28.4
IDCJAC0016,066024,2025,11,11,25.4
IDCJAC0016,066024,2025,11,12,29.5
IDCJAC0016,066024,2025,11,13,27.3
IDCJAC0016,066024,2025,11,14,25.9
IDCJAC0016,066024,2025,11,15,15.5
IDCJAC0016,066024,2025,11,16,28.5
IDCJAC0016,066024,2025,11,17,21.7
IDCJAC0016,066024,2025,11,18,30.2
IDCJAC0016,066024,2025,11,19,30.3
IDCJAC0016,066024,2025,11,20,20.3
IDCJAC0016,066024,2025,11,21,6.8
IDCJAC0016,066024,2025,11,22,8.7
IDCJAC0016,066024,2025,11,23,27.6
IDCJAC0016,066024,2025,11,24,27.3
IDCJAC0016,066024,2025,11,25,23.1
IDCJAC0016,066024,2025,11,26,23.5
IDCJAC0016,066024,2025,11,27,30.8
IDCJAC0016,066024,2025,11,28,29.8
IDCJAC0016,066024,2025,11,29,19.2
IDCJAC0016,066024,2025,11,30,26.7
IDCJAC0016,066024,2025,12,01,21.9
IDCJAC0016,066024,2025,12,02,31.2
IDCJAC0016,066024,2025,12,03,31.5
IDCJAC0016,066024,2025,12,04,31.4
IDCJAC0016,066024,2025,12,05,30.8
IDCJAC0016,066024,2025,12,06,22.7
IDCJAC0016,066024,2025,12,07,13.3
IDCJAC0016,066024,2025,12,08,25.2
IDCJAC0016,066024,2025,12,09,31.7
IDCJAC0016,066024,2025,12,10,23.6
IDCJAC0016,066024,2025,12,11,18.9
IDCJAC0016,066024,2025,12,12,9.6
IDCJAC0016,066024,2025,12,13,24.9
IDCJAC0016,066024,2025,12,14,29.8
IDCJAC0016,066024,2025,12,15,21.6
IDCJAC0016,066024,2025,12,16,7.2
IDCJAC0016,066024,2025,12,17,29.8
IDCJAC0016,066024,2025,12,18,31.8
IDCJAC0016,066024,2025,12,19,25.3
IDCJAC0016,066024,2025,12,20,22.1
IDCJAC0016,066024,2025,12,21,22.9
IDCJAC0016,066024,2025,12,22,20.1
IDCJAC0016,066024,2025,12,23,30.3
IDCJAC0016,066024,2025,12,24,31.9
IDCJAC0016,066024,2025,12,25,20.7
IDCJAC0016,066024,2025,12,26,8.1
IDCJAC0016,066024,2025,12,27,29.9
IDCJAC0016,066024,2025,12,28,24.0
IDCJAC0016,066024,2025,12,29,31.2
IDCJAC0016,066024,2025,12,30,31.6
IDCJAC0016,066024,2025,12,31,18.5
